center_count,sigma,lambda,cv_mse,train_mse,test_mse
10.0,0.5,1.0,0.5329151554327839,0.416027868983371,0.3879807515889599
15.0,0.1,1.0,0.5383965526374305,0.4644313515930502,0.5200684043778009
12.0,0.8,0.1,0.5388463969027284,0.3608215129997753,0.35641570967379527
10.0,0.2,0.1,0.539193558315908,0.4640757501253936,0.4155366800995136
8.0,0.8,1.0,0.5434504833563741,0.4293899271813226,0.43485865476448543
15.0,0.1,0.1,0.5463466683545645,0.4254237422363655,0.5167920028680046
8.0,1.0,1.0,0.5503648983855137,0.45618668590105366,0.45219291450945226
10.0,0.2,0.01,0.5517713104795668,0.4638317214347905,0.4140997592148037
30.0,1.0,0.01,0.5528223651242266,0.3488515296132919,0.34897660794595475
20.0,1.0,1.0,0.5529027332370327,0.4392311516210616,0.43535350356638425
15.0,1.0,1.0,0.5530591763898973,0.44801201656736594,0.44285254996330964
25.0,1.0,0.01,0.5534865421244005,0.3498526369574783,0.3492281662565736
25.0,1.0,1.0,0.5537126740132173,0.4327198712385209,0.42981202420285386
12.0,1.0,1.0,0.5539939935223384,0.4550209230855443,0.4488505487605848
20.0,1.0,0.01,0.5541716465486198,0.35105990364559586,0.3495495946962937
10.0,0.2,0.0001,0.5549335335438157,0.4638290885886487,0.4139586885543097
10.0,0.2,1e-06,0.5549757597911845,0.4638290883234124,0.41395729622861255
30.0,1.0,1.0,0.555040145468545,0.4276349644118418,0.42547709482080653
10.0,1.0,1.0,0.5555517100403536,0.4611068685450133,0.45323409562496403
15.0,1.0,0.01,0.55557192842139,0.35300453436723606,0.35023453965977724
10.0,0.3,0.1,0.5584183066351983,0.4354365049704236,0.3878167250845518
30.0,1.5,0.0001,0.5602005010511659,0.33940945707415765,0.3391695611087485
12.0,1.0,0.01,0.5632593849861329,0.3580385501199347,0.35240004332681885
8.0,0.1,0.1,0.5667057765079886,0.4999304585347902,0.5813488233942715
8.0,1.5,1.0,0.5674981155078936,0.5152515452518283,0.4974657309098802
10.0,1.5,1.0,0.5676942745683059,0.513808247567017,0.49627741361617245
20.0,0.1,0.1,0.5678704169850785,0.3974116190428611,0.3842597832722722
12.0,1.5,1.0,0.5680474070188748,0.512491413473375,0.4952842727175113
12.0,0.8,0.01,0.5684328733728693,0.35599339580655426,0.35358936046237516
15.0,1.5,1.0,0.5689382300042656,0.5110021648970878,0.4942525183441204
20.0,1.5,1.0,0.5708964944422438,0.509269529907711,0.4931778224766285
8.0,2.0,0.1,0.5721562098600697,0.5181581719185133,0.49916736120694677
10.0,2.0,0.1,0.572256744292899,0.5164061654478008,0.49795755310788403
8.0,0.5,0.1,0.5726940841579407,0.3903551081404873,0.42585655356479557
12.0,2.0,0.1,0.5726942545458872,0.5150239407379712,0.49707610183766726
25.0,1.5,1.0,0.5730865611072986,0.5080416273610827,0.49249555170233994
15.0,2.0,0.1,0.57377613222998,0.5134115236377581,0.49613546662396063
12.0,0.5,0.0001,0.5742831481238392,0.3237508961009331,0.31860502660996715
30.0,1.5,1.0,0.5753284504628355,0.5070909826960742,0.49200447628311417
30.0,2.0,1.0,0.5755143166026147,0.5294788124712722,0.506375627114702
25.0,1.5,0.0001,0.5757030515223647,0.34130218064818363,0.3412135670050195
8.0,0.1,0.0001,0.5759808228096879,0.4992449684402056,0.5861851104843043
25.0,2.0,1.0,0.5760669466837064,0.5307533468808914,0.5074897869553284
20.0,2.0,0.1,0.5762673570318327,0.5114933294418038,0.495158925356861
20.0,2.0,1.0,0.5767524778992286,0.5322374915565173,0.5088676685474341
15.0,2.0,1.0,0.5776944628439754,0.5340841907632788,0.5107103335032359
12.0,2.0,1.0,0.5785209138507754,0.5355221103000362,0.5122329104855022
25.0,2.0,0.1,0.5792246607709505,0.5101599825392842,0.4945934480085245
10.0,2.0,1.0,0.5792974433956258,0.5367427571417704,0.5135663937922313
8.0,0.1,0.01,0.5803801019038133,0.49925258853957005,0.5856196518857089
8.0,2.0,1.0,0.5804290098830885,0.5383515776516457,0.5153472704958658
10.0,0.8,0.1,0.58072872449625,0.3875324532488712,0.36795978216357467
8.0,0.1,1.0,0.5809809350258636,0.5292056991200933,0.578181573869458
30.0,2.0,0.1,0.5823985049261017,0.5091866832102226,0.49425677256961675
20.0,1.0,0.1,0.585935906358427,0.3823937478380841,0.3805354473301124
30.0,1.0,0.1,0.5859455415187579,0.37558375035821073,0.3731059710180235
15.0,1.0,0.1,0.5859623026749249,0.3882773764449652,0.3866482583176898
25.0,1.0,0.1,0.5860217276767724,0.3784595219168205,0.3762841738336224
12.0,1.0,0.1,0.5865134241169573,0.39346011071348486,0.39161869097761204
12.0,0.5,1e-06,0.5867054860524252,0.32374613542601094,0.318457766491702
5.0,2.0,1.0,0.5895114556123338,0.548017695728102,0.5254794701858776
10.0,1.0,0.1,0.5933515222834641,0.40230783691002636,0.3951754618146635
5.0,2.0,0.1,0.5939341763868684,0.5464043569745887,0.5216404824420913
10.0,0.3,0.01,0.5943849873825965,0.4352741452838924,0.3864249185329323
8.0,1.5,0.1,0.5959769975480784,0.49657842291074283,0.4866269742882614
20.0,1.5,0.0001,0.5968301794167947,0.3442732310663959,0.34434520707886274
5.0,1.5,1.0,0.5977380194224976,0.5499023970976805,0.5286979992674584
25.0,0.3,0.0001,0.6005754712294993,0.15935466858317487,0.25473496246058847
10.0,0.3,0.0001,0.6010515956470627,0.43527225756825866,0.38627335053920947
10.0,0.3,1e-06,0.6011228480235594,0.435272257376106,0.3862718366731667
10.0,1.0,0.01,0.6022721614215314,0.376392111020122,0.35753110370579166
5.0,1.5,0.1,0.6026935960526887,0.5492116191598992,0.5260023852616313
10.0,1.5,0.1,0.6027524526323784,0.4980126306410904,0.48792981977805305
5.0,2.0,0.01,0.6041794571398074,0.5463638496705738,0.5215891027523131
